whisper_model_load: loading model from '/Users/owehrens/Source/Github/whisper.cpp//models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 3 / 8 | AVX = 0 | AVX2 = 0 | AVX512 = 0 | NEON = 1 | F16C = 0 | FP16_VA = 1 | WASM_SIMD = 0 | BLAS = 1 | 

main: processing 'audio.wav-3-large' (9605956 samples, 600.4 sec), 3 threads, 1 processors, lang = german, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:08.280]   Herzlich willkommen bei Was Jetzt, dem Nachrichten-Podcast von Zeit Online.
[00:00:08.280 --> 00:00:11.120]   Sie hören das Update am Montag, den 25.
[00:00:11.120 --> 00:00:12.120]   Juli.
[00:00:12.120 --> 00:00:15.840]   Ich rede gleich darüber, warum die Affenpocken zwar inzwischen als internationale Notlage
[00:00:15.840 --> 00:00:19.960]   betrachtet werden, es aber sehr wahrscheinlich keine zweite Pandemie geben wird.
[00:00:19.960 --> 00:00:24.160]   Und dann schaue ich in die ukrainische Stadt Odessa, wo Russland nur einen Tag nach dem
[00:00:24.160 --> 00:00:27.080]   Getreideabkommen den Hafen bombardiert hat.
[00:00:27.080 --> 00:00:34.920]   Mein Name ist Moses Fendel und der Redaktionsschluss für diesen Podcast ist 16 Uhr.
[00:00:34.920 --> 00:00:39.200]   In mehr als 75 Ländern haben sich mittlerweile Menschen mit den Affenpocken angesteckt.
[00:00:39.200 --> 00:00:43.440]   Am Wochenende hat die Weltgesundheitsorganisation das Thema zu einer Notlage von internationalem
[00:00:43.440 --> 00:00:44.640]   Ausmaß hochgestuft.
[00:00:44.640 --> 00:00:49.160]   Das ist die höchste Warnstufe für gesundheitliche Bedrohungen, die es bei der WHO gibt.
[00:00:49.160 --> 00:00:50.920]   Klingelt da irgendwas bei Ihnen?
[00:00:50.920 --> 00:00:56.400]   Mir fällt sofort ein, dass die WHO Ende Januar 2020 das damals noch neuartige Coronavirus
[00:00:56.400 --> 00:00:58.280]   auch auf diese Stufe gehoben hat.
[00:00:58.280 --> 00:01:00.840]   Und wir alle wissen, was danach passiert ist.
[00:01:00.840 --> 00:01:04.440]   Welche Parallelen es gibt und wie viel Sorgen uns die Affenpocken jetzt machen müssen, das
[00:01:04.440 --> 00:01:08.240]   hoffe ich jetzt klären zu können mit Jakob Simang, dem Leiter unseres Gesundheitsressorts.
[00:01:08.240 --> 00:01:09.240]   Tag Herr Doktor.
[00:01:09.240 --> 00:01:10.240]   Moin.
