whisper_model_load: loading model from '/Users/owehrens/Source/Github/whisper.cpp//models/ggml-medium.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1024
whisper_model_load: n_audio_head  = 16
whisper_model_load: n_audio_layer = 24
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1024
whisper_model_load: n_text_head   = 16
whisper_model_load: n_text_layer  = 24
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 4
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 2608.00 MB
whisper_model_load: ggml ctx size = 1462.35 MB
whisper_model_load: memory size   =  182.62 MB
whisper_model_load: model size    = 1462.12 MB

system_info: n_threads = 3 / 8 | AVX = 0 | AVX2 = 0 | AVX512 = 0 | NEON = 1 | F16C = 0 | FP16_VA = 1 | WASM_SIMD = 0 | BLAS = 1 | 

main: processing 'audio.wav-3-medium' (9605956 samples, 600.4 sec), 3 threads, 1 processors, lang = german, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:09.880]   Herzlich willkommen bei Was jetzt? dem Nachrichten-Podcast von Zeit Online. Sie hören das Update am Montag,
[00:00:09.880 --> 00:00:15.260]   den 25. Juli. Ich rede gleich darüber, warum die Affenpocken zwar inzwischen als internationale
[00:00:15.260 --> 00:00:20.640]   Notlage betrachtet werden, es aber sehr wahrscheinlich keine zweite Pandemie geben wird. Und dann
[00:00:20.640 --> 00:00:25.080]   schaue ich in die ukrainische Stadt Odessa, wo Russland nur einen Tag nach dem Getreideabkommen
[00:00:25.080 --> 00:00:29.640]   den Hafen bombardiert hat. Mein Name ist Moses Fendel und der Redaktionsschluss für diesen
[00:00:29.640 --> 00:00:38.200]   Podcast ist 16 Uhr. In mehr als 75 Ländern haben sich mittlerweile Menschen mit den Affenpocken
[00:00:38.200 --> 00:00:41.600]   angesteckt. Am Wochenende hat die Weltgesundheitsorganisation das Thema zu einer
[00:00:41.600 --> 00:00:47.000]   Notlage von internationalem Ausmaß hoch gestuft. Das ist die höchste Warnstufe für gesundheitliche
[00:00:47.000 --> 00:00:51.760]   Bedrohungen, die es bei der WHO gibt. Klingelt da irgendwas bei Ihnen? Mir fällt sofort ein,
[00:00:51.760 --> 00:00:56.960]   dass die WHO Ende Januar 2020 das damals noch neuartige Coronavirus auch auf diese
[00:00:56.960 --> 00:01:02.040]   Stufe geroben hat und wir alle wissen, was danach passiert ist. Welche Parallelen es gibt und wie
[00:01:02.040 --> 00:01:05.200]   viel Sorgen uns die Affenpocken jetzt machen müssen, das hoffe ich jetzt klären zu können
[00:01:05.200 --> 00:01:10.720]   mit Jakob Simank, dem Leiter unseres Gesundheitsressorts. Tag Herr Doktor. Moin. Was bedeutet die Entscheidung
[00:01:10.720 --> 00:01:16.720]   der WHO vom Wochenende? Sie ist eine symbolische Entscheidung, würde ich sagen, denn mit dem
[00:01:16.720 --> 00:01:23.440]   Ausrufen dieses Gesundheitsnotstandes geht nichts rechtlich bindendes einher. Die WHO hat aber eine
[00:01:23.440 --> 00:01:28.800]   Liste an Empfehlungen veröffentlicht für die Länder, die reichen von Dingen wie Testkapazitäten
[00:01:28.800 --> 00:01:34.680]   aufbauen, Gesundheitsarbeiter darüber aufklären, wie sich die Affenpocken bemerkbar machen,
[00:01:34.680 --> 00:01:42.360]   einen diskriminierungsfreien Zugang zu ermöglichen, bis hin zu Dingen wie Forschung ankurbeln und die
[00:01:42.360 --> 00:01:47.240]   Hoffnung ist, dass das jetzt auch geschieht. Rechtlich binden ist es nicht und die Vergangenheit hat
[00:01:47.240 --> 00:01:51.480]   auch gezeigt, dass es nicht immer geschieht. Du hast ja selber Corona angesprochen. Da wurde Ende
